air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Shirish Shevade,12,,https://scholar.google.com/citations?user=4E6f01EAAAAJ&hl=en,"Innovation Labs, TCS, India","PhD, IIT Kharagpur",49,2213,Bengaluru,"Text Mining, Sentiment Analysis, Social Media Analytics",,,,,,,,,,,
Shivaram Kalyanakrishnan,10,,https://scholar.google.com/citations?user=cgpzrtcAAAAJ&hl=en,"Assistant Professor, Electrical Engineering (EE), IISc, Bangalore",,24,250,Mumbai,"Signal Processing, Speech Processing, Machine Learning, Deep Learning, Auditory Neuroscience",,,,,,,,,,,
Arjun Jain,9,,https://scholar.google.com/citations?user=NXA956gAAAAJ&hl=en,IBM Research AI ,"PhD, Ohio State University",15,554,Mumbai,,,,,,,,,,,,
Lipika Dey,13,,https://scholar.google.co.in/citations?user=MXUN8qgAAAAJ&hl=en,TCS Innovation Labs,"PhD, University of Maryland, BTech, IIT Kharagpur",75,731,Pune,,,,,,,,,,,,
Ganapathy Sriram,13,,https://scholar.google.com/citations?user=DV8z8DYAAAAJ&hl=en,IIT Madras,,65,559,Bengaluru,"Natural Language Processing, Machine Learning, ",,,,,,,,,,,
Sameep Mehta,10,,https://scholar.google.com/citations?user=rO5ZgW4AAAAJ&hl=en,IIT Madras,,54,342,New Delhi,"Speech Technology, Support Vector Machine, Kernel Methods, Content based Information Retrieval",,,,,,,,,,,
Indrajit Bhattacharya,13,,https://scholar.google.com/citations?user=7soDcboAAAAJ&hl=en,"Assistant Professor, IIT Hyderabad, India",,26,757,Kolkata,"deep learning, Machine Learning, computer vision, Multimedia Computing",,,,,,,,,,,
Mitesh Khapra,7,,https://scholar.google.com/citations?user=JOk66doAAAAJ&hl=en,"Principal Applied Scientist, Microsoft Research, Bangalore",,26,206,Chennai,"Machine Learning, Data Mining, Information Extraction, Numerical Optimization",,,,,,,,,,,
Chandra Sekhar Chellu,8,,https://scholar.google.com/citations?user=PMHlwxQAAAAJ&hl=en,"Associate Professor, IIT Hyderabad",,42,150,Chennai,Speech Signal Processing,,,,,,,,,,,
Vineeth N Balasubramanian,9,,https://scholar.google.com/citations?user=T9P8hx4AAAAJ&hl=en,Aspiring Minds,"MS, MIT, B.tech, Netaji Subhas Institute of Technology",54,369,Hyderabad,"Machine Learning, EducationAssessmentsLabor Economics",,,,,,,,,,,
Sundararajan Sellamanickam,4,,https://scholar.google.com/citations?user=zEnqhxkAAAAJ&hl=en,"IBM Research, India",PhD IIIT-Delhi,9,99,Bengaluru,"Biometrics, computer vision, , Machine Learning, ",,,,,,,,,,,
Sri Rama Murty K,7,,https://scholar.google.com/citations?user=6lD1AscAAAAJ&hl=en,IIT Kanpur,,19,555,Hyderabad,"Machine Learning, computer vision, Artificial Intelligence, cognitive science, robotics",,,,,,,,,,,
Varun Aggarwal,2,,https://scholar.google.com/citations?user=W1ZpREMAAAAJ&hl=en,"Assistant Professor, IIT Bombay",,10,278,New Delhi,"Machine Learning, Relational Learning, Information Extraction, Question Answering, Text Analytics",,,,,,,,,,,
Samarth Bharadwaj,11,,https://scholar.google.com/citations?user=pRDtIYcAAAAJ&hl=en,"Professor, IIT Bombay",,22,447,Bengaluru,"Parallel Computation, Graphics Vision, Image Processing",,,,,,,,,,,
Amitabha Mukerjee,8,,https://scholar.google.com/citations?user=MDXGGcMAAAAJ&hl=en,SSN College of Engineering,,82,237,Kanpur,Speech processing,,,,,,,,,,,
Ganesh Ramakrishnan,8,,https://scholar.google.com/citations?user=MNXz0AoAAAAJ&hl=en,IIT Kanpur,,61,420,Mumbai,"Machine Learning, Kernel Methods, Online Learning, Learning Theory, Data Streaming",,,,,,,,,,,
Sharat Chandran,9,,https://scholar.google.com/citations?user=lGeaDAUAAAAJ&hl=en,"Associate Professor, IIT Bombay",,57,229,Mumbai,,,,,,,,,,,,
Nagarajan T.,2,,https://scholar.google.com/citations?user=uea6nDkAAAAJ&hl=en,INSOFE,,5,15,Chennai,"Relational feature learningdeep learning,  for vision and NLP",,,,,,,,,,,
Purushottam Kar,8,,https://scholar.google.co.in/citations?user=UbJsDGcAAAAJ,Zensar Technologies,,17,219,Kanpur,"AI, IoT, Robotics",,,,,,,,,,,
Nagendra R Velaga,7,,https://scholar.google.com/citations?user=lcRCUawAAAAJ&hl=en,"Professor, IIT Bombay",,30,263,Mumbai,"NLP, Program Derivation",,,,,,,,,,,
Kishore Reddy Konda,6,,https://scholar.google.com/citations?user=gqHcbCkAAAAJ&hl=en,"Professor, IIT Bombay",,8,179,Hyderabad,"Logic, Networks, Artificial Intelligence, ",,,,,,,,,,,
Ullas Nambiar,10,,https://scholar.google.com/citations?user=nqDmEHUAAAAJ&hl=en,"Professor, IIT Madras, Chennai, India",,45,320,Bengaluru,"computer vision, , Pattern Recognition, Computer Graphics",,,,,,,,,,,
"Namboodiri, Anoop M.",11,,https://scholar.google.com/citations?user=0cuvAPkAAAAJ&hl=en,"Assistant Professor, IIT Bombay",,68,485,Hyderabad,Power Systems Operations and ControlElectricity MarketsStochastic ControlReinforcement Learning,,,,,,,,,,,
